S,P,g_type,Camada,q,tipo_q,n_bob_info,y,zeta,Classificacao_zeta,Observacao_passo
12,2,g=P,única,2,inteiro,1,5,0.933,excelente,recomendado
12,2,g=P,única,2,inteiro,1,6,0.9659,excelente,
12,2,g=P/2,única,2,inteiro,2,5,0.933,excelente,recomendado
12,2,g=P/2,única,2,inteiro,2,6,0.9659,excelente,
12,2,g=P,dupla,2,inteiro,6,4,0.8365,evitar,
12,2,g=P,dupla,2,inteiro,6,5,0.933,excelente,recomendado
12,2,g=P,dupla,2,inteiro,6,6,0.9659,excelente,
12,2,g=P/2,dupla,2,inteiro,12,4,0.8365,evitar,
12,2,g=P/2,dupla,2,inteiro,12,5,0.933,excelente,recomendado
12,2,g=P/2,dupla,2,inteiro,12,6,0.9659,excelente,
12,4,g=P/2,única,1,inteiro,1,3,1.0,excelente,recomendado
12,4,g=P,dupla,1,inteiro,3,2,0.866,aceitável,
12,4,g=P,dupla,1,inteiro,3,3,1.0,excelente,recomendado
12,4,g=P/2,dupla,1,inteiro,6,2,0.866,aceitável,
12,4,g=P/2,dupla,1,inteiro,6,3,1.0,excelente,recomendado
15,2,g=P,dupla,2.5,fracionário,"2.5 [3,2]",5,0.8331,evitar,
15,2,g=P,dupla,2.5,fracionário,"2.5 [3,2]",6,0.9149,bom,
15,2,g=P,dupla,2.5,fracionário,"2.5 [3,2]",7,0.9567,excelente,recomendado
15,2,g=P/2,dupla,2.5,fracionário,"5 [6,4]",5,0.8331,evitar,
15,2,g=P/2,dupla,2.5,fracionário,"5 [6,4]",6,0.9149,bom,
15,2,g=P/2,dupla,2.5,fracionário,"5 [6,4]",7,0.9567,excelente,recomendado
18,2,g=P/2,única,3,inteiro,3,8,0.9452,excelente,recomendado
18,2,g=P/2,única,3,inteiro,3,9,0.9598,excelente,
18,2,g=P,dupla,3,inteiro,9,6,0.8312,evitar,
18,2,g=P,dupla,3,inteiro,9,7,0.9019,bom,
18,2,g=P,dupla,3,inteiro,9,8,0.9452,excelente,recomendado
18,2,g=P,dupla,3,inteiro,9,9,0.9598,excelente,
18,2,g=P/2,dupla,3,inteiro,18,6,0.8312,evitar,
18,2,g=P/2,dupla,3,inteiro,18,7,0.9019,bom,
18,2,g=P/2,dupla,3,inteiro,18,8,0.9452,excelente,recomendado
18,2,g=P/2,dupla,3,inteiro,18,9,0.9598,excelente,
18,4,g=P,dupla,1.5,fracionário,"1.5 [2,1]",3,0.844,evitar,
18,4,g=P,dupla,1.5,fracionário,"1.5 [2,1]",4,0.9598,excelente,recomendado
18,4,g=P/2,dupla,1.5,fracionário,"3 [4,2]",3,0.844,evitar,
18,4,g=P/2,dupla,1.5,fracionário,"3 [4,2]",4,0.9598,excelente,recomendado
18,6,g=P/2,única,1,inteiro,1,3,1.0,excelente,recomendado
18,6,g=P,dupla,1,inteiro,3,2,0.866,aceitável,
18,6,g=P,dupla,1,inteiro,3,3,1.0,excelente,recomendado
18,6,g=P/2,dupla,1,inteiro,6,2,0.866,aceitável,
18,6,g=P/2,dupla,1,inteiro,6,3,1.0,excelente,recomendado
21,2,g=P,dupla,3.5,fracionário,"3.5 [4,3]",7,0.8301,evitar,
21,2,g=P,dupla,3.5,fracionário,"3.5 [4,3]",8,0.8922,bom,
21,2,g=P,dupla,3.5,fracionário,"3.5 [4,3]",9,0.9345,excelente,recomendado
21,2,g=P,dupla,3.5,fracionário,"3.5 [4,3]",10,0.9558,excelente,
21,2,g=P/2,dupla,3.5,fracionário,"7 [8,6]",7,0.8301,evitar,
21,2,g=P/2,dupla,3.5,fracionário,"7 [8,6]",8,0.8922,bom,
21,2,g=P/2,dupla,3.5,fracionário,"7 [8,6]",9,0.9345,excelente,recomendado
21,2,g=P/2,dupla,3.5,fracionário,"7 [8,6]",10,0.9558,excelente,
24,2,g=P,única,4,inteiro,2,10,0.925,excelente,recomendado
24,2,g=P,única,4,inteiro,2,11,0.9495,excelente,
24,2,g=P,única,4,inteiro,2,12,0.9577,excelente,
24,2,g=P/2,única,4,inteiro,4,10,0.925,excelente,recomendado
24,2,g=P/2,única,4,inteiro,4,11,0.9495,excelente,
24,2,g=P/2,única,4,inteiro,4,12,0.9577,excelente,
